Statistical profiling result from isolate-0x102802a00-v8.log, (494 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     55   11.1%          /usr/lib/system/libsystem_malloc.dylib
      5    1.0%          /usr/lib/system/libsystem_pthread.dylib
      2    0.4%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     41    8.3%    9.5%  LazyCompile: *ArrayPushFallback native array.js:298:27
     27    5.5%    6.3%  LazyCompile: *reduceIterableWith /Users/sergiomarin/Proyectos/perezoso-js/lib/perezoso.js:63:28
     19    3.8%    4.4%  Builtin: KeyedStoreIC_Megamorphic
      8    1.6%    1.9%  Builtin: ArgumentsAdaptorTrampoline
      7    1.4%    1.6%  Stub: JSEntryStub
      6    1.2%    1.4%  Builtin: KeyedStoreIC
      3    0.6%    0.7%  LazyCompile: *arrayOfNumbers /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:3:25
      3    0.6%    0.7%  Builtin: JSEntryTrampoline
      3    0.6%    0.7%  Builtin: CallFunction_ReceiverIsAny
      3    0.6%    0.7%  Builtin: ArrayPrototypePush
      2    0.4%    0.5%  LazyCompile: ~next /Users/sergiomarin/Proyectos/perezoso-js/lib/perezoso.js:155:15
      2    0.4%    0.5%  LazyCompile: ~arrayOfNumbers.map.filter.x /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:15:11
      2    0.4%    0.5%  LazyCompile: ~ArrayPushFallback native array.js:298:27
      2    0.4%    0.5%  Builtin: KeyedStoreICTrampoline
      2    0.4%    0.5%  Builtin: InterpreterEntryTrampoline
      2    0.4%    0.5%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
      1    0.2%    0.2%  Script: ~<anonymous> buffer.js:1:11
      1    0.2%    0.2%  LazyCompile: ~normalizeString path.js:57:25
      1    0.2%    0.2%  LazyCompile: ~next /Users/sergiomarin/Proyectos/perezoso-js/lib/perezoso.js:80:15
      1    0.2%    0.2%  LazyCompile: ~deprecate internal/util.js:42:19
      1    0.2%    0.2%  LazyCompile: ~arrayOfNumbers.map.filter.reduce /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:16:14
      1    0.2%    0.2%  LazyCompile: *next /Users/sergiomarin/Proyectos/perezoso-js/lib/perezoso.js:53:15
      1    0.2%    0.2%  Builtin: ArrayPush
      1    0.2%    0.2%  Builtin: AdaptorWithBuiltinExitFrame

 [C++]:
   ticks  total  nonlib   name
